"Site","perTotSG","X3DTotSG","cat","perSand","perAlgae","volAlgae","denAlgae","Secchi","Landist","Edgedist","adjhab","Long","Lat","PinBiomass","PigBiomass","TozBiomass","totalBiomass","NumPin","NumPig","NumToz","TotNum","Area","biomassperarea","pigperarea","pinperarea","tozperarea","NumPreds","Preddens","threedcat","het","Tha","syr","othersg","totalan","hetan","hetsg","tpbiopin","tpbiopinper","tpbiopig","tpbiopigper","div"
"BB09_118",0.95,23.75,"Mid",0.05,0,0,0,1.5,11.9,5.5,"Mangrove",-82.77309066,28.82720424,256407.0483,25443.12603,1750.522756,283600.6971,67,3,83,153,160.82,1763.466591,158.208718,1594.372891,10.88498169,0,0,"Mid Cover",0,0.95,0,0,221,1.883279179,0,22332120.33,138864.0737,2921261.729,18164.79125,0.0950000000000001
"BB09_119",0.96,28.5,"Mid",0.04,0,99367.05975,672.6261406,3.3,10,4.4,"Salt Marsh",-82.80884743,28.40262003,27792.00723,14798.75106,21.09063561,42611.84893,8,1,1,10,147.73,288.4441138,100.1743116,188.1270374,0.142764744,0,0,"Mid Cover",0.057907517,0.95,0.01,0,72,2.870000367,0.057907517,2420582.639,16385.17999,1699123.962,11501.54986,0.0958
"BB09_120",1,35,"Mid",0,0,39746.8239,247.1510005,1.3,3.4,3.2,"Salt Marsh",-83.62335928,29.78543277,548795.6106,6455.229184,2889.417079,558140.2569,280,2,137,419,160.82,3470.589833,40.13946763,3412.483588,17.96677701,6,0.037308792,"Mid Cover",0.693147181,0.5,0.5,0,860,2.275134478,0.693147181,47798099.52,297214.8956,741159.4765,4608.627512,0.5
"BB09_121",1,14,"Low",0,0,54888.4711,353.6400432,3.4,16.1,0.8,"Salt Marsh",-82.84528449,28.46019082,136031.3491,60362.81565,1834.885298,198229.0501,25,6,87,118,155.21,1277.166742,388.9106092,876.4341801,11.82195283,2,0.012885768,"Low Cover",0.500402424,0.2,0.8,0,241,2.526255108,0.500402424,11847835.22,76334.22599,6930578.539,44652.91244,0.32
"BB09_123",0.8,11.5,"Low",0.2,0,0,0,3,7.3,9.8,"Salt Marsh",-83.93298031,29.96434427,22824.91758,24687.87504,3374.501698,50887.29432,10,7,160,177,185.13,274.8733016,133.3542648,123.2912957,18.22774104,4,0.021606439,"Low Cover",0.376770161,0.7,0,0.1,247,1.665641467,0.376770161,1987967.216,10738.22295,2834547.313,15311.11821,0.46
"BB09_040",1,30,"Mid",0,0,66244.7065,442.8122092,1.6,1.2,4,"Fresh Marsh",-83.63122307,29.8411677,135723.6851,11777.41667,253.0876273,147754.1894,8,3,12,23,149.6,987.6616939,78.72604726,907.2438844,1.691762215,0,0,"Mid Cover",0.134742168,0.03,0.97,0,417,2.40263525,0.134742168,11821038.8,79017.63905,1352228.36,9038.959627,0.0582
"BB09_042",0.99,34.3,"Mid",0.01,0,0,0,2.6,14.5,2.4,"Fresh Marsh",-82.80404592,28.70745464,280180.6048,15966.56245,7381.722464,303528.8897,81,3,350,434,132.77,2286.125553,120.2573055,2110.270429,55.59781927,0,0,"Mid Cover",0.056465174,0.98,0.01,0,522,1.236715261,0.056465174,24402710.54,183796.8709,1833206.65,13807.38608,0.0394000000000001
"BB09_068",1,35,"Mid",0,0,0,0,2.1,5.9,0.9,"Salt Marsh",-83.64957488,29.78687757,167475.1745,55830.97926,14826.71683,238132.8706,72,16,703,791,157.08,1515.997394,355.4302219,1066.177581,94.38959021,0,0,"Mid Cover",0.422709088,0.15,0.85,0,816,0.599976715,0.422709088,14586477.92,92860.18535,6410254.103,40808.84965,0.255
"BB09_093",1,30,"Mid",0,0,41639.5298,271.5503443,3.5,15.2,0.9,"Salt Marsh",-82.81790052,28.560187,143006.3588,15966.56245,590.5377971,159563.459,37,3,28,68,153.34,1040.586011,104.1252279,932.6096178,3.851166017,2,0.013042911,"Mid Cover",0,1,0,0,251,2.846990994,0,12455333.16,81226.90207,1833206.65,11955.17575,0
"BB09_109",0.4,4,"Low",0.6,0,33122.35325,224.2087135,2.2,6.4,9.7,"Salt Marsh",-82.72766557,28.61788926,12026.21397,15931.79276,0,27958.00673,1,2,0,3,147.73,189.2507055,107.8439908,81.40671475,0,4,0.027076423,"Low Cover",0,0.4,0,0,131,2.088452186,0,1047439.449,7090.228453,1829214.555,12382.14686,0.48
"BB09_113",1,45,"High",0,0,0,0,2.3,4.1,2.8,"Salt Marsh",-83.36174101,29.44995952,545431.762,136453.8122,26173.47879,708059.053,105,28,1241,1374,136.51,5186.865819,999.5883979,3995.54437,191.733051,9,0.065929236,"Mid Cover",0.610864302,0.3,0.7,0,1451,0.690401648,0.610864302,47505120.55,347997.3668,15666993.86,114768.1039,0.42
"BB09_116",0.25,4,"Low",0.75,0,1875,11.52498617,4.5,10.3,1.4,"Salt Marsh",-83.74053744,29.83766768,36554.53523,500858.7107,2087.972925,539501.2189,2,69,99,170,162.69,3316.130179,3078.607847,224.6882736,12.83405818,4,0.024586637,"Low Cover",0.950270539,0.15,0.05,0.05,212,1.483258531,0.950270539,3183766.923,19569.53054,57506274.25,353471.4749,0.41
"BB09_043",0.75,12,"Low",0.25,0,0,0,NA,11.3,4,"Salt Marsh",-84.01043765,29.96494629,4603.8351,7588.270884,337.4501698,12529.55615,5,3,16,24,173.91,72.04620867,43.63332117,26.47251509,1.940372433,0,0,"Low Cover",0,0.75,0,0,26,1.115617846,0,400977.2746,2305.659678,871250.0696,5009.775572,0.375
"BB09_060",1,10,"Low",0,0,0,0,1,1.5,1.2,"Salt Marsh",-83.42761448,29.65731299,25922.21758,61530.62704,295.2688985,87748.11352,5,8,14,27,153.34,572.2454253,401.2692516,169.0505907,1.925583008,0,0,"Low Cover",0.693147181,0.5,0.5,0,138,3.113011689,0.693147181,2257730.768,14723.69094,7064661.227,46071.87444,0.5
"BB09_108",0.6,6.75,"Low",0.4,0,0,0,NA,5,1.7,"Salt Marsh",-84.06328112,30.0498324,0,5322.187485,337.4501698,5659.637654,0,1,16,17,162.69,34.78786437,32.71367315,0,2.074191221,0,0,"Low Cover",0.693147181,0.3,0,0.3,46,0.929749767,0.693147181,0,0,611068.8835,3756.03223,0.66
